district,tract,total,male,female,age_0_18,age_25_64,white,black,hispanic,asian
1,21111000600,1.0436563779182459e-6,1.0564962850691805e-6,1.0333547006969278e-6,1.1175364248271259e-6,8.912618838923763e-7,1.0879705257313397e-7,1.5961113679145058e-6,0,0
1,21111001000,0.08199666511864646,0.07243378513096088,0.08966912737100519,0.09467826596838834,0.07616516788350189,0.02658874061582232,0.10130514163829102,0.1381663767219271,0
1,21111001100,0.02748531559283044,0.0269624737243951,0.02790480057064974,0.028052915166166398,0.027048088863670786,0.0021689590735022744,0.04201363101448714,0.00491093460705113,0
1,21111001200,0.1057671692011161,0.09486152810561432,0.11451695166735622,0.1268414956752002,0.09399785429222184,0.0019251643727352507,0.16154509721913463,0.030715372581631005,0
1,21111001400,0.10079289668518379,0.08453204260648164,0.1138392581652624,0.13333194502138868,0.08550216962426645,0.0022082147923495297,0.15673865591284666,0.01876059639888853,0
1,21111001500,0.04930439205778507,0.03650131326836619,0.05957652125445871,0.05460631551026647,0.05325525615178816,0.007284475788145313,0.073251234333341,0.015908419774398698,0
1,21111001600,6.86685242310867e-6,7.023504718727951e-6,6.741167605728131e-6,1.2615756025865356e-5,5.293373401378751e-6,2.984945366379859e-6,8.654390257356564e-6,3.299620267042134e-6,0
1,21111001700,0.02754531181997496,0.02616164866091916,0.028655448449474208,0.03465539039470822,0.02568332055819717,0.0038011829042071624,0.040935597355459166,0.00560254146947979,0
1,21111012411,0.029039686763148758,0.027280584509469796,0.030451044602708702,0.025046048923229557,0.031575596669272496,0.07141179507138644,0.007673816240564909,5.280695401991682e-8,0
1,21111012503,0.11608551210620738,0.1266720789478798,0.10759172837375436,0.09392337809244138,0.11646044230123141,0.24113891647141453,0.058344198813092774,0.05187601211542795,1
1,21111012601,0.039585819214017104,0.041286694052917385,0.038221178225710875,0.021767847031025342,0.04761792071198903,0.039891403964507154,0.04359790346193873,0,0
