,NAME,B12006_001E,B12006_001EA,B12006_001M,B12006_001MA,B12006_002E,B12006_002EA,B12006_002M,B12006_002MA,B12006_003E,B12006_003EA,B12006_003M,B12006_003MA,B12006_004E,B12006_004EA,B12006_004M,B12006_004MA,B12006_005E,B12006_005EA,B12006_005M,B12006_005MA,B12006_006E,B12006_006EA,B12006_006M,B12006_006MA,B12006_007E,B12006_007EA,B12006_007M,B12006_007MA,B12006_008E,B12006_008EA,B12006_008M,B12006_008MA,B12006_009E,B12006_009EA,B12006_009M,B12006_009MA,B12006_010E,B12006_010EA,B12006_010M,B12006_010MA,B12006_011E,B12006_011EA,B12006_011M,B12006_011MA,B12006_012E,B12006_012EA,B12006_012M,B12006_012MA,B12006_013E,B12006_013EA,B12006_013M,B12006_013MA,B12006_014E,B12006_014EA,B12006_014M,B12006_014MA,B12006_015E,B12006_015EA,B12006_015M,B12006_015MA,B12006_016E,B12006_016EA,B12006_016M,B12006_016MA,B12006_017E,B12006_017EA,B12006_017M,B12006_017MA,B12006_018E,B12006_018EA,B12006_018M,B12006_018MA,B12006_019E,B12006_019EA,B12006_019M,B12006_019MA,B12006_020E,B12006_020EA,B12006_020M,B12006_020MA,B12006_021E,B12006_021EA,B12006_021M,B12006_021MA,B12006_022E,B12006_022EA,B12006_022M,B12006_022MA,B12006_023E,B12006_023EA,B12006_023M,B12006_023MA,B12006_024E,B12006_024EA,B12006_024M,B12006_024MA,B12006_025E,B12006_025EA,B12006_025M,B12006_025MA,B12006_026E,B12006_026EA,B12006_026M,B12006_026MA,B12006_027E,B12006_027EA,B12006_027M,B12006_027MA,B12006_028E,B12006_028EA,B12006_028M,B12006_028MA,B12006_029E,B12006_029EA,B12006_029M,B12006_029MA,B12006_030E,B12006_030EA,B12006_030M,B12006_030MA,B12006_031E,B12006_031EA,B12006_031M,B12006_031MA,B12006_032E,B12006_032EA,B12006_032M,B12006_032MA,B12006_033E,B12006_033EA,B12006_033M,B12006_033MA,B12006_034E,B12006_034EA,B12006_034M,B12006_034MA,B12006_035E,B12006_035EA,B12006_035M,B12006_035MA,B12006_036E,B12006_036EA,B12006_036M,B12006_036MA,B12006_037E,B12006_037EA,B12006_037M,B12006_037MA,B12006_038E,B12006_038EA,B12006_038M,B12006_038MA,B12006_039E,B12006_039EA,B12006_039M,B12006_039MA,B12006_040E,B12006_040EA,B12006_040M,B12006_040MA,B12006_041E,B12006_041EA,B12006_041M,B12006_041MA,B12006_042E,B12006_042EA,B12006_042M,B12006_042MA,B12006_043E,B12006_043EA,B12006_043M,B12006_043MA,B12006_044E,B12006_044EA,B12006_044M,B12006_044MA,B12006_045E,B12006_045EA,B12006_045M,B12006_045MA,B12006_046E,B12006_046EA,B12006_046M,B12006_046MA,B12006_047E,B12006_047EA,B12006_047M,B12006_047MA,B12006_048E,B12006_048EA,B12006_048M,B12006_048MA,B12006_049E,B12006_049EA,B12006_049M,B12006_049MA,B12006_050E,B12006_050EA,B12006_050M,B12006_050MA,B12006_051E,B12006_051EA,B12006_051M,B12006_051MA,B12006_052E,B12006_052EA,B12006_052M,B12006_052MA,B12006_053E,B12006_053EA,B12006_053M,B12006_053MA,B12006_054E,B12006_054EA,B12006_054M,B12006_054MA,B12006_055E,B12006_055EA,B12006_055M,B12006_055MA,B12006_056E,B12006_056EA,B12006_056M,B12006_056MA,GEO_ID,NAME,state,county
0,"Jefferson County, Alabama",524669,,1353,,174905,,5563,,86945,,3818,,57267,,3699,,52074,,3922,,5193,,1561,,29678,,2822,,87960,,3370,,56974,,3599,,52508,,3612,,4466,,1378,,30986,,3425,,236306,,9606,,117085,,5037,,81458,,4316,,79487,,4399,,1971,,1014,,35627,,3029,,119221,,5364,,68823,,4853,,67466,,4873,,1357,,610,,50398,,4089,,11793,,2450,,4738,,1559,,2943,,1115,,2901,,1101,,42,,51,,1795,,681,,7055,,1807,,4100,,1069,,3912,,1072,,188,,155,,2955,,1171,,35970,,3373,,7782,,1544,,2288,,954,,2288,,954,,0,,206,,5494,,1071,,28188,,2615,,6848,,1549,,6694,,1517,,154,,184,,21340,,1975,,65695,,5331,,26887,,2890,,16499,,2346,,15529,,2216,,970,,647,,10388,,1925,,38808,,3914,,24355,,2860,,23153,,2732,,1202,,681,,14453,,2061,,0500000US01073,"Jefferson County, Alabama",01,073
1,"Marion County, Indiana",752767,,2106,,324118,,7654,,160124,,5183,,109490,,5789,,98763,,5543,,10727,,2632,,50634,,5641,,163994,,4681,,119453,,4642,,109814,,4481,,9639,,1951,,44541,,4174,,291634,,10175,,145613,,6011,,111883,,5536,,109377,,5575,,2506,,932,,33730,,2422,,146021,,5590,,94397,,4731,,92466,,4766,,1931,,624,,51624,,3825,,12705,,2470,,6138,,1499,,4300,,1104,,3791,,985,,509,,526,,1838,,923,,6567,,1733,,4300,,1561,,4194,,1595,,106,,134,,2267,,789,,38971,,3069,,9388,,1992,,2267,,1111,,2267,,1111,,0,,201,,7121,,1597,,29583,,2339,,5681,,1234,,5659,,1238,,22,,38,,23902,,2113,,85339,,4738,,35358,,2754,,22274,,2382,,21558,,2340,,716,,518,,13084,,1900,,49981,,3841,,28260,,2970,,26895,,2768,,1365,,651,,21721,,2672,,0500000US18097,"Marion County, Indiana",18,097
2,"Jefferson County, Kentucky",617069,,1336,,209640,,7161,,109752,,4247,,78986,,4292,,73752,,4126,,5234,,1487,,30766,,3233,,99888,,4340,,74074,,4299,,67962,,4521,,6112,,1588,,25814,,2514,,276177,,9452,,137493,,5220,,98419,,4393,,96929,,4304,,1490,,621,,39074,,3219,,138684,,5465,,87002,,4343,,85041,,4205,,1961,,608,,51682,,3381,,12777,,1988,,5800,,1420,,3889,,1265,,3598,,1149,,291,,348,,1911,,748,,6977,,1497,,4054,,1196,,3683,,1163,,371,,328,,2923,,965,,38809,,2604,,9244,,1147,,1792,,757,,1792,,757,,0,,201,,7452,,1150,,29565,,2129,,5329,,1413,,5093,,1378,,236,,265,,24236,,1914,,79666,,5017,,30845,,2983,,19101,,2269,,17796,,2153,,1305,,680,,11744,,1707,,48821,,3307,,28540,,2611,,27417,,2555,,1123,,507,,20281,,2270,,0500000US21111,"Jefferson County, Kentucky",21,111
3,"Kent County, Michigan",517040,,1141,,176640,,6221,,93559,,3526,,72288,,3860,,67264,,3658,,5024,,1269,,21271,,2305,,83081,,3894,,62289,,3876,,57604,,3571,,4685,,1406,,20792,,2526,,256894,,8056,,128054,,4554,,99338,,4329,,98461,,4081,,877,,680,,28716,,2419,,128840,,4713,,83137,,3939,,81708,,3874,,1429,,525,,45703,,3236,,3905,,1436,,2176,,1193,,1256,,1062,,1256,,1062,,0,,175,,920,,553,,1729,,636,,1087,,462,,1087,,462,,0,,175,,642,,466,,27207,,2335,,6968,,1348,,1789,,714,,1705,,705,,84,,142,,5179,,1142,,20239,,1951,,3500,,1112,,3500,,1112,,0,,175,,16739,,1751,,52394,,4046,,22027,,2456,,15044,,1989,,14501,,1906,,543,,405,,6983,,1485,,30367,,2806,,20061,,2378,,18880,,2339,,1181,,595,,10306,,1642,,0500000US26081,"Kent County, Michigan",26,081
4,"St. Louis County, Missouri",801868,,2035,,258214,,8185,,128542,,4860,,88662,,4401,,83154,,4562,,5508,,1352,,39880,,3500,,129672,,4931,,88816,,4410,,83714,,4669,,5102,,1868,,40856,,3290,,389520,,9939,,193271,,5483,,143920,,4509,,141598,,4567,,2322,,792,,49351,,2703,,196249,,5511,,123867,,4873,,120909,,4810,,2958,,1243,,72382,,4213,,12220,,2514,,5007,,1529,,4125,,1466,,3527,,1325,,598,,671,,882,,536,,7213,,1809,,5075,,1501,,5075,,1501,,0,,195,,2138,,1025,,51361,,3936,,10933,,1766,,1643,,604,,1598,,595,,45,,80,,9290,,1651,,40428,,2993,,5506,,964,,5422,,951,,84,,138,,34922,,2906,,90553,,5867,,35393,,3762,,23832,,3449,,22420,,3275,,1412,,684,,11561,,1910,,55160,,3723,,35683,,3199,,34913,,3203,,770,,550,,19477,,2041,,0500000US29189,"St. Louis County, Missouri",29,189
5,"Jackson County, Missouri",557191,,1619,,186988,,6112,,96981,,3841,,71657,,4067,,67566,,4190,,4091,,1100,,25324,,2362,,90007,,3264,,65048,,3277,,61562,,3265,,3486,,998,,24959,,2667,,252804,,8085,,126680,,4531,,95233,,4325,,93559,,4171,,1674,,803,,31447,,2467,,126124,,4504,,81007,,3783,,79343,,3695,,1664,,645,,45117,,3278,,11044,,1587,,4523,,1066,,3566,,1006,,3338,,947,,228,,221,,957,,461,,6521,,1366,,4453,,1184,,4453,,1184,,0,,195,,2068,,858,,34079,,2968,,7235,,1253,,1430,,565,,1430,,565,,0,,195,,5805,,1164,,26844,,2372,,5129,,1330,,5040,,1331,,89,,123,,21715,,2153,,72276,,3606,,30842,,2291,,19052,,2070,,18421,,2143,,631,,447,,11790,,1761,,41434,,2489,,27515,,2289,,26537,,2372,,978,,475,,13919,,1653,,0500000US29095,"Jackson County, Missouri",29,095
6,"St. Louis city, Missouri",249953,,912,,117900,,4745,,60016,,2722,,42040,,2779,,38868,,2613,,3172,,986,,17976,,2257,,57884,,2920,,43818,,3132,,40717,,3124,,3101,,1011,,14066,,2148,,81021,,5127,,40899,,2900,,29524,,2582,,28856,,2402,,668,,533,,11375,,1466,,40122,,2862,,26933,,2566,,26656,,2556,,277,,209,,13189,,1693,,6838,,1432,,2754,,696,,1373,,505,,1025,,390,,348,,341,,1381,,471,,4084,,1186,,3086,,1081,,3018,,1082,,68,,114,,998,,503,,14450,,1611,,3039,,837,,753,,345,,719,,346,,34,,59,,2286,,766,,11411,,1454,,2259,,718,,2180,,725,,79,,130,,9152,,1347,,29744,,2482,,12903,,1733,,6530,,1233,,6204,,1204,,326,,268,,6373,,1259,,16841,,1964,,8587,,1557,,8163,,1541,,424,,266,,8254,,1382,,0500000US29510,"St. Louis city, Missouri",29,510
7,"Douglas County, Nebraska",440151,,1126,,151927,,5181,,80117,,3488,,62501,,3444,,57803,,3626,,4698,,1256,,17616,,2130,,71810,,3170,,51347,,2805,,48479,,2785,,2868,,977,,20463,,2522,,215932,,6532,,109844,,3720,,86377,,3447,,83445,,3767,,2932,,1035,,23467,,1813,,106088,,3592,,73749,,3632,,72008,,3439,,1741,,648,,32339,,2156,,5163,,987,,1464,,507,,1354,,489,,1354,,489,,0,,165,,110,,107,,3699,,916,,2541,,740,,2405,,727,,136,,146,,1158,,674,,20053,,2251,,4500,,977,,1373,,673,,1373,,673,,0,,165,,3127,,797,,15553,,1772,,3566,,897,,3566,,897,,0,,165,,11987,,1429,,47076,,3567,,19233,,2285,,13638,,1947,,13098,,1949,,540,,350,,5595,,1027,,27843,,2211,,18579,,1843,,18127,,1903,,452,,364,,9264,,1284,,0500000US31055,"Douglas County, Nebraska",31,055
8,"Mecklenburg County, North Carolina",880223,,1647,,342747,,9264,,172104,,6118,,129988,,5919,,122433,,6027,,7555,,1469,,42116,,3812,,170643,,5167,,130972,,5343,,124498,,5280,,6474,,1640,,39671,,3879,,396675,,10891,,198496,,6404,,158438,,6778,,155324,,6794,,3114,,900,,40058,,2140,,198179,,5681,,126646,,5470,,123897,,5370,,2749,,956,,71533,,3669,,19171,,2808,,6513,,1636,,5035,,1392,,4735,,1359,,300,,341,,1478,,852,,12658,,2333,,9254,,2203,,8723,,2020,,531,,497,,3404,,981,,31688,,2758,,6326,,966,,2270,,707,,2206,,708,,64,,108,,4056,,708,,25362,,2714,,5843,,1523,,5782,,1503,,61,,101,,19519,,2195,,89942,,5430,,32597,,3254,,22907,,2946,,22207,,2923,,700,,444,,9690,,1669,,57345,,3693,,39259,,3439,,37853,,3386,,1406,,638,,18086,,2147,,0500000US37119,"Mecklenburg County, North Carolina",37,119
9,"Guilford County, North Carolina",431248,,1509,,160676,,5607,,78433,,3318,,50224,,3849,,45590,,3531,,4634,,1337,,28209,,3408,,82243,,3601,,56088,,3279,,51057,,3195,,5031,,1606,,26155,,3304,,186495,,7279,,91660,,4291,,66355,,3874,,65068,,3702,,1287,,720,,25305,,2030,,94835,,3983,,54549,,3300,,53391,,3273,,1158,,552,,40286,,3266,,12170,,2005,,5344,,1468,,3668,,1164,,3668,,1164,,0,,216,,1676,,878,,6826,,1433,,4369,,1291,,4369,,1291,,0,,216,,2457,,790,,25052,,2579,,5155,,1236,,1739,,793,,1739,,793,,0,,216,,3416,,981,,19897,,1990,,4037,,1207,,3803,,1132,,234,,302,,15860,,1918,,46855,,4356,,19773,,2727,,12826,,2006,,11894,,1908,,932,,669,,6947,,1401,,27082,,3029,,16567,,2412,,15955,,2363,,612,,512,,10515,,1745,,0500000US37081,"Guilford County, North Carolina",37,081
